の, 助詞,連体化,*,*,*,*,の,ノ,ノ
日本の排他的経済水域, 名詞,固有名詞,一般,*,*,*,日本の排他的経済水域,ニホンノハイタテキケイザイスイイキ,ニホンノハイタテキケイザイスイーキ
褒めそやす, 動詞,自立,*,*,五段・サ行,基本形,褒めそやす,ホメソヤス,ホメソヤス
祈る, 動詞,自立,*,*,五段・ラ行,基本形,祈る,イノル,イノル
29年, 名詞,固有名詞,一般,*,*,*,29年,ニジュウキュウネン,ニジュウキュウネン
UN, 名詞,固有名詞,一般,*,*,*,UN,アン,アン
ミシシッピ, 名詞,固有名詞,地域,一般,*,*,ミシシッピ,ミシシッピ,ミシシッピ
在宅医療, 名詞,固有名詞,一般,*,*,*,在宅医療,ザイタクイリョウ,ザイタクイリョー
トヨタ自動車, 名詞,固有名詞,組織,*,*,*,トヨタ自動車,トヨタジドウシャ,トヨタジドーシャ
押し下げ, 動詞,自立,*,*,一段,未然形,押し下げる,オシサゲ,オシサゲ
起きる, 動詞,自立,*,*,一段,基本形,起きる,オキル,オキル
飛行機, 名詞,一般,*,*,*,*,飛行機,ヒコウキ,ヒコーキ
神田大介, 名詞,固有名詞,人名,一般,*,*,神田大介,カンダダイスケ,カンダダイスケ
at, 名詞,固有名詞,人名,一般,*,*,at,アット,アット
チャーリー, 名詞,固有名詞,一般,*,*,*,Charlie,チャーリー,チャーリー
マニフェスト, 名詞,一般,*,*,*,*,マニフェスト,マニフェスト,マニフェスト
製造業, 名詞,固有名詞,一般,*,*,*,製造業,セイゾウギョウ,セイゾーギョー
答弁書, 名詞,固有名詞,一般,*,*,*,答弁書,トウベンショ,トーベンショ
籍, 名詞,一般,*,*,*,*,籍,セキ,セキ
タイム, 名詞,一般,*,*,*,*,タイム,タイム,タイム
Wisconsin, 名詞,固有名詞,組織,*,*,*,*
ジェフ・セッションズ, 名詞,固有名詞,人名,一般,*,*,ジェフ・セッションズ,ジェフセッションズ,ジェフセッションズ
フライト, 名詞,一般,*,*,*,*,フライト,フライト,フライト
ペシュメルガ, 名詞,固有名詞,一般,*,*,*,ペシュメルガ,ペシュメルガ,ペシュメルガ
強める, 動詞,自立,*,*,一段,基本形,強める,ツヨメル,ツヨメル
クルド人, 名詞,固有名詞,一般,*,*,*,クルド人,クルドジン,クルドジン
Hills, 名詞,一般,*,*,*,*,*
震わせ, 動詞,自立,*,*,一段,連用形,震わせる,フルワセ,フルワセ
駐留, 名詞,サ変接続,*,*,*,*,駐留,チュウリュウ,チューリュー
勝負, 名詞,サ変接続,*,*,*,*,勝負,ショウブ,ショーブ
press, 名詞,一般,*,*,*,*,*
弱め, 動詞,自立,*,*,一段,連用形,弱める,ヨワメ,ヨワメ
険悪, 名詞,形容動詞語幹,*,*,*,*,険悪,ケンアク,ケンアク
飛び降りよ, 動詞,自立,*,*,一段,未然ウ接続,飛び降りる,トビオリヨ,トビオリヨ
につき, 助詞,格助詞,連語,*,*,*,につき,ニツキ,ニツキ
条, 名詞,接尾,助数詞,*,*,*,条,ジョウ,ジョー
無地, 名詞,一般,*,*,*,*,無地,ムジ,ムジ
マイク・ロジャース, 名詞,固有名詞,人名,一般,*,*,マイク・ロジャース,マイクロジャース,マイクロジャース
不信感, 名詞,固有名詞,一般,*,*,*,不信感,フシンカン,フシンカン
ケーブルテレビ局, 名詞,固有名詞,一般,*,*,*,ケーブルテレビ局,ケーブルテレビキョク,ケーブルテレビキョク
保護, 名詞,サ変接続,*,*,*,*,保護,ホゴ,ホゴ
きょうだい, 名詞,固有名詞,一般,*,*,*,きょうだい,キョウダイ,キョーダイ
卒業アルバム, 名詞,固有名詞,一般,*,*,*,卒業アルバム,ソツギョウアルバム,ソツギョーアルバム
ジェイミー, 名詞,固有名詞,一般,*,*,*,Jammy,ジェイミー,ジェイミー
貨物機, 名詞,固有名詞,一般,*,*,*,貨物機,カモツキ,カモツキ
移民政策, 名詞,固有名詞,一般,*,*,*,移民政策,イミンセイサク,イミンセイサク
確定申告書, 名詞,固有名詞,一般,*,*,*,確定申告書,カクテイシンコクショ,カクテイシンコクショ
パキスタン, 名詞,固有名詞,地域,国,*,*,パキスタン,パキスタン,パキスタン
第2戦, 名詞,固有名詞,一般,*,*,*,第2戦,ダイニセン,ダイニセン
落とし, 動詞,自立,*,*,五段・サ行,連用形,落とす,オトシ,オトシ
ワイヤ, 名詞,一般,*,*,*,*,ワイヤ,ワイヤ,ワイヤ
共に, 副詞,一般,*,*,*,*,共に,トモニ,トモニ
オハイオ, 名詞,固有名詞,地域,一般,*,*,オハイオ,オハイオ,オハイオ
句読, 名詞,一般,*,*,*,*,句読,クトウ,クトー
リアリティー, 名詞,一般,*,*,*,*,リアリティー,リアリティー,リアリティー
ユタ州, 名詞,固有名詞,一般,*,*,*,ユタ州,ユタシュウ,ユタシュー
有力, 名詞,形容動詞語幹,*,*,*,*,有力,ユウリョク,ユーリョク
貸し出す, 動詞,自立,*,*,五段・サ行,基本形,貸し出す,カシダス,カシダス
野崎, 名詞,固有名詞,人名,姓,*,*,野崎,ノサキ,ノサキ
Champion, 名詞,固有名詞,一般,*,*,*,Champion,チャンピオン,チャンピオン
司会者, 名詞,固有名詞,一般,*,*,*,司会者,シカイシャ,シカイシャ
占める, 動詞,自立,*,*,一段,基本形,占める,シメル,シメル
スーパーマーケット, 名詞,一般,*,*,*,*,スーパーマーケット,スーパーマーケット,スーパーマーケット
行進, 名詞,サ変接続,*,*,*,*,行進,コウシン,コーシン
円滑, 名詞,形容動詞語幹,*,*,*,*,円滑,エンカツ,エンカツ
メンフィス, 名詞,固有名詞,地域,一般,*,*,メンフィス,メンフィス,メンフィス
Presidential, 名詞,固有名詞,組織,*,*,*,*
自動小銃, 名詞,固有名詞,一般,*,*,*,自動小銃,ジドウショウジュウ,ジドーショウジュー
当事者, 名詞,一般,*,*,*,*,当事者,トウジシャ,トージシャ
ティーオフ, 名詞,固有名詞,人名,一般,*,*,T-OFF,ティーオフ,ティーオフ
以下, 名詞,非自立,副詞可能,*,*,*,以下,イカ,イカ
全国, 名詞,一般,*,*,*,*,全国,ゼンコク,ゼンコク
神経系, 名詞,固有名詞,一般,*,*,*,神経系,シンケイケイ,シンケイケイ
泣く, 動詞,自立,*,*,五段・カ行イ音便,基本形,泣く,ナク,ナク
すると, 接続詞,*,*,*,*,*,すると,スルト,スルト
ブリヂストン, 名詞,固有名詞,組織,*,*,*,ブリヂストン,ブリヂストン,ブリジストン
立案, 名詞,サ変接続,*,*,*,*,立案,リツアン,リツアン
超え, 動詞,自立,*,*,一段,連用形,超える,コエ,コエ
選挙結果, 名詞,固有名詞,一般,*,*,*,選挙結果,センキョケッカ,センキョケッカ
たたえ, 動詞,自立,*,*,一段,連用形,たたえる,タタエ,タタエ
委員, 名詞,一般,*,*,*,*,委員,イイン,イイン
8時間, 名詞,固有名詞,一般,*,*,*,8時間,ハチジカン,ハチジカン
上回る, 動詞,自立,*,*,五段・ラ行,基本形,上回る,ウワマワル,ウワマワル
南方, 名詞,一般,*,*,*,*,南方,ナンポウ,ナンポー
外国企業, 名詞,固有名詞,一般,*,*,*,外国企業,ガイコクキギョウ,ガイコクキギョー
即日開票, 名詞,固有名詞,一般,*,*,*,即日開票,ソクジツカイヒョウ,ソクジツカイヒョー
アドバイザー, 名詞,固有名詞,一般,*,*,*,アドバイザ,アドバイザー,アドバイザー
Dick, 名詞,一般,*,*,*,*,*
個人所得, 名詞,固有名詞,一般,*,*,*,個人所得,コジンショトク,コジンショトク
地震学, 名詞,固有名詞,一般,*,*,*,地震学,ジシンガク,ジシンガク
こんな, 連体詞,*,*,*,*,*,こんな,コンナ,コンナ
懐中電灯, 名詞,固有名詞,一般,*,*,*,懐中電灯,カイチュウデントウ,カイチューデントー
サウジ, 名詞,固有名詞,地域,国,*,*,サウジ,サウジ,サウジ
非情, 名詞,形容動詞語幹,*,*,*,*,非情,ヒジョウ,ヒジョー
逆行, 名詞,サ変接続,*,*,*,*,逆行,ギャッコウ,ギャッコー
座, 名詞,一般,*,*,*,*,座,ザ,ザ
国際社会, 名詞,固有名詞,一般,*,*,*,国際社会,コクサイシャカイ,コクサイシャカイ
見送っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,見送る,ミオクッ,ミオクッ
作る, 動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
ナイジェル, 名詞,固有名詞,一般,*,*,*,ナイジェル,ナイジェル,ナイジェル
Satyarup, 名詞,固有名詞,組織,*,*,*,*
銃弾, 名詞,一般,*,*,*,*,銃弾,ジュウダン,ジューダン
不滅, 名詞,形容動詞語幹,*,*,*,*,不滅,フメツ,フメツ
好機, 名詞,一般,*,*,*,*,好機,コウキ,コーキ
中国青年報, 名詞,固有名詞,一般,*,*,*,中国青年報,チュウゴクセイネンホウ,チューゴクセイネンホー
伊, 名詞,固有名詞,地域,国,*,*,伊,イ,イ
生み出し, 動詞,自立,*,*,五段・サ行,連用形,生み出す,ウミダシ,ウミダシ
先週, 名詞,副詞可能,*,*,*,*,先週,センシュウ,センシュー
2大政党, 名詞,固有名詞,一般,*,*,*,2大政党,ニダイセイトウ,ニダイセイトー
数百人, 名詞,固有名詞,一般,*,*,*,数百人,スウヒャクニン,スーヒャクニン
初旬, 名詞,副詞可能,*,*,*,*,初旬,ショジュン,ショジュン
泳ぐ, 動詞,自立,*,*,五段・ガ行,基本形,泳ぐ,オヨグ,オヨグ
Action, 名詞,一般,*,*,*,*,*
自然, 名詞,形容動詞語幹,*,*,*,*,自然,シゼン,シゼン
行き来, 名詞,サ変接続,*,*,*,*,行き来,イキキ,イキキ
口, 名詞,一般,*,*,*,*,口,クチ,クチ
スタンダード, 名詞,一般,*,*,*,*,スタンダード,スタンダード,スタンダード
フリン, 名詞,形容動詞語幹,*,*,*,*,不倫,フリン,フリン
許可証, 名詞,固有名詞,一般,*,*,*,許可証,キョカショウ,キョカショー
十分, 名詞,形容動詞語幹,*,*,*,*,十分,ジュウブン,ジューブン
堅持, 名詞,サ変接続,*,*,*,*,堅持,ケンジ,ケンジ
蒸し返し, 動詞,自立,*,*,五段・サ行,連用形,蒸し返す,ムシカエシ,ムシカエシ
出る, 動詞,自立,*,*,一段,基本形,出る,デル,デル
無し, 名詞,接尾,一般,*,*,*,無し,ナシ,ナシ
近いうちに, 名詞,固有名詞,一般,*,*,*,近いうちに,チカイウチニ,チカイウチニ
哲平, 名詞,固有名詞,人名,名,*,*,哲平,テッペイ,テッペイ
守っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,守る,マモッ,マモッ
射殺, 名詞,サ変接続,*,*,*,*,射殺,シャサツ,シャサツ
王毅, 名詞,固有名詞,人名,一般,*,*,王毅,オウキ,オーキ
進出, 名詞,サ変接続,*,*,*,*,進出,シンシュツ,シンシュツ
年収, 名詞,一般,*,*,*,*,年収,ネンシュウ,ネンシュー
中核, 名詞,一般,*,*,*,*,中核,チュウカク,チューカク
日本国民, 名詞,固有名詞,一般,*,*,*,日本国民,ニッポンコクミン,ニッポンコクミン
前身, 名詞,一般,*,*,*,*,前身,ゼンシン,ゼンシン
国家主席, 名詞,固有名詞,一般,*,*,*,国家主席,コッカシュセキ,コッカシュセキ
テロ支援, 名詞,固有名詞,一般,*,*,*,テロ支援,テロシエン,テロシエン
容疑, 名詞,一般,*,*,*,*,容疑,ヨウギ,ヨーギ
アラバマ州, 名詞,固有名詞,一般,*,*,*,アラバマ州,アラバマシュウ,アラバマシュー
通称, 名詞,一般,*,*,*,*,通称,ツウショウ,ツーショー
ほとんど, 副詞,一般,*,*,*,*,ほとんど,ホトンド,ホトンド
Times, 名詞,一般,*,*,*,*,*
ホットライン, 名詞,一般,*,*,*,*,ホットライン,ホットライン,ホットライン
めまぐるしく, 形容詞,自立,*,*,形容詞・イ段,連用テ接続,めまぐるしい,メマグルシク,メマグルシク
100発, 名詞,固有名詞,一般,*,*,*,100発,ヒャッパツ,ヒャッパツ
onstant, 名詞,一般,*,*,*,*,*
ＮＰＡ, 名詞,固有名詞,組織,*,*,*,*
店, 名詞,一般,*,*,*,*,店,ミセ,ミセ
首相府, 名詞,固有名詞,一般,*,*,*,首相府,シュショウフ,シュショーフ
高官, 名詞,一般,*,*,*,*,高官,コウカン,コーカン
地上, 名詞,一般,*,*,*,*,地上,チジョウ,チジョー
次官, 名詞,一般,*,*,*,*,次官,ジカン,ジカン
エイハブ, 名詞,固有名詞,一般,*,*,*,エイハブ,エイハブ,エイハブ
最高峰, 名詞,一般,*,*,*,*,最高峰,サイコウホウ,サイコーホー
打ち出す, 動詞,自立,*,*,五段・サ行,基本形,打ち出す,ウチダス,ウチダス
his, 名詞,固有名詞,人名,一般,*,*,HIS,ヒズ,ヒズ
一節, 名詞,一般,*,*,*,*,一節,イッセツ,イッセツ
激戦, 名詞,サ変接続,*,*,*,*,激戦,ゲキセン,ゲキセン
結束, 名詞,サ変接続,*,*,*,*,結束,ケッソク,ケッソク
居場所, 名詞,一般,*,*,*,*,居場所,イバショ,イバショ
通行, 名詞,サ変接続,*,*,*,*,通行,ツウコウ,ツーコー
プラグイン, 名詞,固有名詞,一般,*,*,*,プラグイン,プラグイン,プラグイン
He, 名詞,固有名詞,組織,*,*,*,*
バーニー・サンダース, 名詞,固有名詞,一般,*,*,*,バーニー・サンダース,バーニーサンダース,バーニーサンダース
発展, 名詞,サ変接続,*,*,*,*,発展,ハッテン,ハッテン
英字紙, 名詞,固有名詞,一般,*,*,*,英字紙,エイジシ,エイジシ
相当, 名詞,サ変接続,*,*,*,*,相当,ソウトウ,ソートー
粉塵, 名詞,一般,*,*,*,*,粉塵,フンジン,フンジン
8, 名詞,数,*,*,*,*,*
具合, 名詞,一般,*,*,*,*,具合,グアイ,グアイ
意図, 名詞,サ変接続,*,*,*,*,意図,イト,イト
使える, 動詞,自立,*,*,一段,基本形,使える,ツカエル,ツカエル
もてあそび, 動詞,自立,*,*,五段・バ行,連用形,もてあそぶ,モテアソビ,モテアソビ
甘い生活, 名詞,固有名詞,一般,*,*,*,甘い生活,アマイセイカツ,アマイセイカツ
取り留め, 動詞,自立,*,*,一段,連用形,取り留める,トリトメ,トリトメ
かかわる, 動詞,自立,*,*,五段・ラ行,基本形,かかわる,カカワル,カカワル
40人, 名詞,固有名詞,一般,*,*,*,40人,ヨンジュウニン,ヨンジュウニン
わが国, 名詞,一般,*,*,*,*,わが国,ワガクニ,ワガクニ
ラガルド, 名詞,一般,*,*,*,*,*
Chris, 名詞,固有名詞,組織,*,*,*,*
戦闘機, 名詞,固有名詞,一般,*,*,*,戦闘機,セントウキ,セントーキ
Royal, 名詞,固有名詞,組織,*,*,*,*
猟銃, 名詞,一般,*,*,*,*,猟銃,リョウジュウ,リョージュー
供給, 名詞,サ変接続,*,*,*,*,供給,キョウキュウ,キョーキュー
百, 名詞,数,*,*,*,*,百,ヒャク,ヒャク
アジア, 名詞,固有名詞,地域,一般,*,*,アジア,アジア,アジア
冷戦, 名詞,一般,*,*,*,*,冷戦,レイセン,レイセン
見極め, 名詞,一般,*,*,*,*,見極め,ミキワメ,ミキワメ
870万, 名詞,固有名詞,一般,*,*,*,870万,ハッピャクナナジュウマン,ハッピャクナナジュウマン
ナイツブリッジ, 名詞,固有名詞,一般,*,*,*,ナイツブリッジ,ナイツブリッジ,ナイツブリッジ
真っ赤, 名詞,形容動詞語幹,*,*,*,*,真っ赤,マッカ,マッカ
達也, 名詞,固有名詞,人名,名,*,*,達也,タツヤ,タツヤ
供与, 名詞,サ変接続,*,*,*,*,供与,キョウヨ,キョーヨ
延期, 名詞,サ変接続,*,*,*,*,延期,エンキ,エンキ
望め, 動詞,自立,*,*,一段,未然形,望める,ノゾメ,ノゾメ
キャリア, 名詞,一般,*,*,*,*,キャリア,キャリア,キャリア
トーマス, 名詞,固有名詞,人名,名,*,*,トーマス,トーマス,トーマス
グライナー, 名詞,固有名詞,一般,*,*,*,グライナー,グライナー,グライナー
処罰, 名詞,サ変接続,*,*,*,*,処罰,ショバツ,ショバツ
依頼, 名詞,サ変接続,*,*,*,*,依頼,イライ,イライ
会, 名詞,接尾,一般,*,*,*,会,カイ,カイ
訓練, 名詞,サ変接続,*,*,*,*,訓練,クンレン,クンレン
晴れて, 副詞,一般,*,*,*,*,晴れて,ハレテ,ハレテ
ジェームズ・コミー, 名詞,固有名詞,人名,一般,*,*,ジェームズ・コミー,ジェームズコミー,ジェームズコミー
孤立, 名詞,サ変接続,*,*,*,*,孤立,コリツ,コリツ
飽き, 動詞,自立,*,*,一段,連用形,飽きる,アキ,アキ
50回, 名詞,固有名詞,一般,*,*,*,50回,ゴジュッカイ,ゴジュッカイ
館内, 名詞,一般,*,*,*,*,館内,カンナイ,カンナイ
高校, 名詞,一般,*,*,*,*,高校,コウコウ,コーコー
求めて, 副詞,一般,*,*,*,*,求めて,モトメテ,モトメテ
主眼, 名詞,一般,*,*,*,*,主眼,シュガン,シュガン
開業, 名詞,サ変接続,*,*,*,*,開業,カイギョウ,カイギョー
2011年, 名詞,固有名詞,一般,*,*,*,2011年,ニセンジュウイチネン,ニセンジュウイチネン
Stubb, 名詞,固有名詞,組織,*,*,*,*
南西, 名詞,一般,*,*,*,*,南西,ナンセイ,ナンセイ
定期的, 名詞,固有名詞,一般,*,*,*,定期的,テイキテキ,テイキテキ
軽い, 形容詞,自立,*,*,形容詞・アウオ段,基本形,軽い,カルイ,カルイ
Ｅ, 記号,アルファベット,*,*,*,*,Ｅ,イー,イー
聴き, 動詞,自立,*,*,五段・カ行イ音便,連用形,聴く,キキ,キキ
任命, 名詞,サ変接続,*,*,*,*,任命,ニンメイ,ニンメイ
就任後, 名詞,固有名詞,一般,*,*,*,就任後,シュウニンゴ,シューニンゴ
46, 名詞,数,*,*,*,*,*
離れるな, 名詞,固有名詞,一般,*,*,*,離れるな,ハナレルナ,ハナレルナ
腕, 名詞,一般,*,*,*,*,腕,ウデ,ウデ
持ち出し, 動詞,自立,*,*,五段・サ行,連用形,持ち出す,モチダシ,モチダシ
